accel_x,accel_y,accel_z
5.057566,5.12213,6.521031
5.014523,5.129304,6.485162
5.12213,5.201043,6.470815
5.071913,5.150826,6.391902
5.136478,5.165174,6.384728
5.114956,5.186695,6.463641
5.172348,5.150826,6.420598
5.093435,5.258433,6.492336
5.150826,5.229738,6.427772
5.02887,5.229738,6.442119
5.014523,5.150826,6.427772
5.043218,5.143652,6.391902
5.057566,5.186695,6.427772
5.12213,5.150826,6.470815
5.193869,5.165174,6.427772
5.172348,5.143652,6.477988
5.136478,5.229738,6.413424
5.071913,5.158,6.420598
5.093435,5.172348,6.384728
5.086261,5.100609,6.37038
5.143652,5.143652,6.391902
5.036044,5.158,6.470815
5.093435,5.179521,6.413424
5.06474,5.208217,6.442119
5.06474,5.193869,6.528205
5.007349,5.236912,6.399076
5.02887,5.071913,6.463641
5.06474,5.136478,6.399076
5.079087,5.158,6.463641
5.114956,5.150826,6.434945
5.093435,5.12213,6.442119
5.107783,5.208217,6.40625
5.02887,5.165174,6.449293
5.114956,5.165174,6.384728
5.057566,5.158,6.535379
5.071913,5.114956,6.449293
5.057566,5.186695,6.37038
5.021697,5.158,6.377554
5.036044,5.136478,6.40625
5.107783,5.143652,6.356033
5.100609,5.158,6.456467
5.172348,5.201043,6.477988
5.172348,5.179521,6.470815
5.02887,5.215391,6.399076
5.086261,5.107783,6.40625
5.079087,5.179521,6.391902
5.071913,5.179521,6.456467
5.02887,5.158,6.442119
5.129304,5.150826,6.477988
5.079087,5.093435,6.40625
5.179521,5.229738,6.434945
5.129304,5.172348,6.470815
5.129304,5.150826,6.391902
5.071913,5.172348,6.284295
5.100609,5.150826,6.463641
5.06474,5.150826,6.427772
5.093435,5.107783,6.384728
5.079087,5.114956,6.49951
5.050392,5.208217,6.463641
5.100609,5.193869,6.463641
5.107783,5.100609,6.391902
5.071913,5.143652,6.427772
5.086261,5.179521,6.442119
5.036044,5.143652,6.456467
5.086261,5.201043,6.427772
5.079087,5.172348,6.327338
5.093435,5.165174,6.377554
5.136478,5.186695,6.442119
5.158,5.143652,6.348859
5.02887,5.150826,6.485162
5.093435,5.129304,6.363207
5.100609,5.186695,6.391902
5.079087,5.165174,6.506684
5.036044,5.208217,6.449293
5.079087,5.12213,6.420598
5.12213,5.201043,6.348859
5.086261,5.208217,6.413424
5.057566,5.150826,6.37038
5.050392,5.129304,6.456467
5.100609,5.172348,6.434945
5.014523,5.143652,6.449293
5.057566,5.143652,6.348859
5.129304,5.287129,6.320164
5.06474,5.193869,6.427772
5.02887,5.215391,6.427772
5.100609,5.150826,6.37038
5.093435,5.150826,6.420598
5.06474,5.222564,6.377554
5.158,5.165174,6.463641
5.079087,5.165174,6.449293
5.158,5.107783,6.506684
5.086261,5.25126,6.470815
5.071913,5.222564,6.420598
5.043218,5.236912,6.399076
5.107783,5.12213,6.413424
5.158,5.136478,6.363207
5.043218,5.172348,6.434945
5.093435,5.158,6.363207
5.057566,5.193869,6.37038
5.158,5.186695,6.413424
5.165174,5.158,6.420598
5.071913,5.179521,6.377554
5.100609,5.158,6.384728
5.100609,5.107783,6.384728
5.057566,5.107783,6.420598
5.007349,5.229738,6.37038
5.129304,5.12213,6.420598
5.114956,5.158,6.40625
5.050392,5.100609,6.442119
5.12213,5.158,6.391902
5.06474,5.208217,6.356033
5.12213,5.179521,6.434945
5.06474,5.150826,6.442119
5.02887,5.107783,6.40625
5.12213,5.165174,6.485162
5.186695,5.193869,6.37038
5.071913,5.193869,6.40625
5.143652,5.172348,6.384728
5.100609,5.236912,6.356033
5.079087,5.208217,6.449293
5.06474,5.172348,6.413424
5.100609,5.265607,6.413424
5.107783,5.193869,6.456467
5.107783,5.222564,6.391902
5.136478,5.208217,6.542553
5.093435,5.172348,6.442119
5.114956,5.107783,6.420598
