I3,I4,I5
0.008522,0,-0.026632
-0.004261,0.009587,0.010653
-0.004261,0.007457,0.028762
-0.013848,-0.010653,-0.008522
0.009587,0.004261,0.005326
0.019175,0.005326,0.003196
0.006392,0,-0.004261
0.006392,-0.009587,-0.017044
0.002131,0.008522,-0.02024
0.012783,0.015979,0.013848
0.013848,0.005326,0.001065
0.001065,0.002131,0.005326
-0.005326,0.013848,0.015979
0.006392,0.002131,-0.018109
0.009587,-0.001065,0.003196
0.004261,-0.004261,0.006392
0.007457,0.021305,0.013848
-0.003196,0.002131,0.024501
0.004261,-0.002131,-0.001065
0.002131,-0.001065,-0.011718
0.017044,-0.003196,0.018109
0.003196,0,-0.004261
0.005326,-0.001065,-0.008522
0.006392,-0.001065,-0.007457
0.006392,0,0.003196
0.004261,-0.001065,0.003196
-0.003196,0.001065,-0.001065
0.009587,0.006392,0.004261
0.014914,0.021305,0.002131
0.008522,0.005326,0.015979
0.009587,0.001065,0.008522
-0.005326,0.014914,-0.012783
-0.007457,0.026632,-0.001065
0.012783,-0.004261,-0.009587
0.008522,-0.010653,0.002131
0.019175,0.012783,0.017044
0.009587,-0.014914,-0.003196
0.014914,-0.018109,0.005326
-0.006392,0.003196,0.003196
0.008522,-0.002131,0.005326
-0.008522,-0.005326,-0.014914
-0.001065,-0.003196,-0.007457
-0.005326,0.008522,0.012783
0.007457,0.004261,0.004261
0.009587,-0.001065,-0.001065
0.006392,-0.003196,0.008522
0.002131,-0.003196,0.004261
0,0,-0.005326
0.015979,0.005326,-0.02024
0.024501,0.006392,-0.007457
0.003196,0.004261,0.007457
0.009587,-0.004261,0.004261
0.001065,-0.009587,-0.004261
0.002131,-0.003196,-0.001065
0.023436,0.002131,0.001065
0.005326,0.008522,-0.002131
-0.001065,-0.006392,0.015979
0.004261,-0.007457,0.007457
0.001065,-0.009587,-0.012783
0.011718,0.005326,0.011718
0.009587,0.008522,0.007457
-0.005326,0,-0.013848
0.014914,0.011718,-0.019175
0.006392,0.008522,-0.010653
0.009587,0.011718,-0.001065
0.006392,-0.002131,0
0.010653,0.002131,-0.004261
-0.007457,-0.001065,0
-0.009587,0.009587,0.009587
0.012783,0.012783,0.012783
0.003196,0.002131,0.003196
-0.001065,0.003196,-0.015979
-0.004261,0.001065,0.002131
0.025566,0.007457,-0.001065
0.025566,0.011718,0
0.014914,-0.008522,-0.006392
-0.012783,-0.004261,0.006392
0.007457,0.009587,-0.001065
0.014914,0.002131,0.011718
-0.002131,-0.009587,-0.015979
0.006392,0.003196,-0.010653
0.021305,0.02024,-0.001065
-0.004261,0.009587,0.021305
0.003196,-0.005326,0.011718
0.012783,-0.013848,-0.004261
0.012783,0.005326,0
0,-0.003196,0.008522
-0.006392,-0.018109,-0.003196
0.003196,0.010653,-0.002131
0.014914,0.012783,0.007457
0.006392,-0.009587,0.001065
-0.006392,-0.004261,-0.003196
0.009587,-0.007457,0.010653
0.006392,0.014914,-0.002131
0.013848,0.023436,0.005326
0.021305,-0.013848,0.002131
-0.011718,-0.008522,-0.005326
0.007457,0.008522,0.004261
0.006392,0.003196,-0.009587
0.017044,-0.011718,0.004261
0.02024,0.007457,0.030893
-0.004261,0.004261,0.014914
0.002131,-0.009587,0.017044
0.014914,0.008522,-0.004261
0.018109,-0.003196,-0.009587
-0.002131,-0.008522,-0.009587
0.012783,-0.002131,0.021305
0.007457,0,0.013848
0.007457,-0.009587,0.002131
0.002131,0.012783,0.007457
-0.008522,0.021305,-0.010653
-0.013848,-0.008522,-0.025566
0.006392,0.008522,0.002131
0.018109,0.007457,0.017044
0.002131,-0.018109,-0.005326
0.017044,-0.006392,-0.007457
0.011718,0.013848,0
-0.006392,-0.006392,-0.008522
0.007457,-0.02024,0.005326
-0.005326,-0.015979,0.013848
0.012783,0.006392,-0.007457
0.017044,0.001065,-0.008522
0.001065,-0.001065,0.003196
-0.003196,-0.008522,0.015979
0.012783,0,-0.006392
-0.001065,0.003196,-0.002131
0.004261,-0.009587,-0.002131
0.007457,0.004261,0.02024
0.005326,-0.003196,-0.002131
-0.012783,-0.008522,0.003196
0.003196,0.007457,0.011718
0.009587,-0.001065,0.004261
-0.009587,-0.023436,-0.022371
0.013848,-0.008522,-0.014914
0.005326,0.003196,0.005326
-0.002131,0.017044,0.019175
0.013848,-0.004261,-0.004261
0.003196,0,0.005326
-0.003196,-0.004261,0.017044
-0.009587,0.003196,-0.003196
-0.014914,0.003196,-0.025566
0.017044,-0.018109,0.004261
0.030893,-0.004261,0.006392
0.006392,-0.006392,0.010653
0.002131,-0.022371,0.001065
0.007457,0.004261,-0.009587
0.006392,-0.002131,-0.009587
0.002131,-0.008522,-0.006392
-0.002131,0.003196,-0.005326
-0.006392,0.008522,0.004261
0,0.001065,0.009587
0.003196,-0.005326,0
0.001065,0.012783,0.013848
0.004261,0.009587,-0.001065
0.002131,0.021305,0.004261
0.006392,0.003196,0.021305
0,-0.026632,-0.017044
0.009587,-0.009587,0
-0.004261,0.008522,0.036219
0.013848,0.023436,0.006392
0.024501,0.005326,-0.031958
0.001065,-0.001065,-0.005326
-0.002131,-0.005326,0.026632
-0.010653,0.009587,0.024501
-0.008522,0.006392,0.006392
0.002131,-0.011718,-0.02024
0.010653,0,-0.017044
